#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# Decisions
ElectiveLeagues_event_36_DESC;After going through all the letters and remembering the messengers that arrived at your court, you seem to have [Root.num_cofounders.GetValue] possible co-founders.\nYou can declare your Elective League once you have at least 2 co-founders.;;Ich habe momentan [Root.num_cofounders.GetValue] Mitgründer. \nMit mindestens 2 Mitgründern oder einem Spieler kann ich einen höheren Titel erstellen!;;;;;;;x

ElectiveLeagues_event_50_DESC;Your liege decided to join an Elective League with other rulers. His most powerful vassal will also be an elector.;;Dein Lehnsherr hat sich dazu entschieden einem Wahlbund beizutreten.;;;;;;;x
ElectiveLeagues_event_46_DESC;We have received a letter:\n "I have decided to strengthen our alliance.\n I hereby offer you my full protection as liege lord in my Elective League.\n A seat as an elector in our Elective League is guaranteed if you do decide to join us.";;Wir haben einen Brief mit dem Angebot bekommen,\n uns einem Wahlbund anzuschließen.\n Falls wir dieses Angebot annehmen, werden wir ein Wähler im Wahlreich.;;;;;;;x

# Titles created by the big event
# NB: name based on Capital rather than PrimaryTitle to prevent recursive names like "Paris Union League Federation"
ELECTIVE_REALM_NAME_DUKE;[Root.Capital.GetName] Union;;;;;;;;;x
ELECTIVE_REALM_NAME_KING;[Root.PrimaryTitle.GetAdjective] League;;[Root.PrimaryTitle.GetAdjective]e Liga;;;;;;;x
ELECTIVE_REALM_NAME_EMPEROR;[Root.Culture.GetName] Federation;;[Root.Culture.GetName]e Föderation;;;;;;;x
ELECTIVE_REALM_ADJECTIVE_DUKE;[Root.Capital.GetName]ian;;[Root.Capital.GetName]sch;;;;;;x

# Options in events
# NB: Not using "[Root.Capital.GetName] Union" etc on button labels, to work around a bug where text is truncated BEFORE substitution
ElectiveLeagues_event_35_DUCHY;Create an elective duchy.;;Ein Wahlherzogtum erstellen.;;;;;;;x
ElectiveLeagues_event_35_KINGDOM;Create an elective kingdom.;;Ein Wahlkönigreich erstellen.;;;;;;;x
ElectiveLeagues_event_35_EMPIRE;Create an elective empire.;;Ein Wahlkaiserreich erstellen.;;;;;;;x
ElectiveLeagues_event_35_NEVER_MIND;Never mind.;;Eh. Dann doch nicht.;;;;;;;x
ElectiveLeagues_event_35_CANNOT;So we can't;;Also ist es uns nicht möglich;;;;;;x
elective_league_31_event_yes;It's time to send the messengers!;;Schicke die Einladungen an unsere Verbündeten!;;;;;;x
elective_league_31_event_no;Let's not.;;Lieber doch nicht.;;;;;;x
ElectiveLeagues_event_50_Take;This might take power away from us...;;Das könnte uns viel Macht rauben...;;;;;;x
ElectiveLeagues_event_50_Opportunity;...Or pose to be a great opportunity;;...Oder große Chancen bringen;;;;;;x

# Effects
NAPS_WITH_NEW_VASSALS;We sign a 24-year non-aggression pact with each cofounder, preventing us from revoking titles and preventing them from joining factions.\n;;Du unterschreibst einen 24-Jahre langen Nichtangriffspakt mit deinen Mitgründern. Dieser verhindert Titelaberkennung und das Beitreten von Fraktionen.\n;;;;;;;x
NAPS_WITH_JOINED_VASSAL;We sign a 18-year non-aggression pact with your new elector, preventing us from revoking titles and preventing them from joining factions.\n;;Du unterschreibst einen 18-Jahre langen Nichtangriffspakt mit deinem neuen Wähler. Dieser verhindert Titelaberkennung und das Beitreten von Fraktionen.\n;;;;;;;x

#BYE_COUNCIL;Your council members will be relieved of their duties, allowing us to form a new council without the hassle of firing anyone\n;;;;;;;;;x
BYE_COUNCIL;You will need to hire new council members.\n;;Du wirst neue Ratsmitglieder einstellen müssen.\n;;;;;;;x

# SUCCESSION THINGS


invited_to_elective_league;Invited to Elective League;;Zu Wahlbund eingeladen;;;;;;;;;;x
founding_elective_league;Founding an Elective League;;Gründet einen Wahlbund;;;;;;;;;;x
refused_elective_league;Refused Elective League;;Trat Wahlbund nicht bei;;;;;;;;;;x
accept_league;We accept this offer.;;Wir nehmen das Angebot an.;;;;;;;;;;x
refuse_league;We refuse!;;Wir lehnen das Angebot ab.;;;;;;;;;;x
num_cofounders;Amount of Co-founders;;Anzahl der Mitgründer;;;;;;;;;x

#SUCC LAWS AND STUFF
vassal_elector_desc;Vassal-Elector;;Wählervassal;;;;;;;;;x
electorus_desc;Elector;;Wähler;;;;;;;;;x
opinion_cofounded;Co-founder of our Elective League;;Mitgründer unseres Wahlbunds;;;;;;;;;;x
opinion_joined_league;Joined my League;;Trat meinem Wahlbund bei;;;;;;;;;;x
opinion_refused_league;Refused to join my League;;Geweigert Wahlbund beizutreten;;;;;;;;;;x

succ_elective_league_desc; An Elective League founded by at least 3 titles.\n The holders of these titles and their most important vassal get 2+1 vote.\n;; Ein durch die Vereinigung mehrere Titel gegründetes Wahlreich.\n Die Gründer und Vassalen gleichen Grades bekommen 2 Stimmen. Wichtige Vassallen der Gründer 1 Stimme.\n;;;;;;;;;;x
succ_elective_league;Elective League;;Wahlbund;;;;;;;;;x
elective_league;Elective League;;Wahlbund;;;;;;;;;x
tooltip_EL_big_elector;Important Elector;;Wichtiger Wähler;;;;;;;;;x

#TRIBAL
succ_tribal_league_desc; A Tribal Elective League founded by at least 3 titles.\nThe holders of these titles and their most important vassal get 2+1 vote.\nIn a Tribal Elective League the title ALWAYS changes to an important elector. Be careful.\n;; Ein durch die Vereinigung mehrere Titel gegründetes Wahlreich.\nDie Gründer und Vassalen gleichen Grades bekommen 2 Stimmen. Wichtige Vassallen der Gründer 1 Stimme.\n Bei einem Stammeswahlbund wechselt die Krone immer in die Hände eines anderen Wählers. Sei vorsichtig.\n;;;;;;;;;;x
succ_tribal_league;Tribal Elective League;;Stammeswahlbund;;;;;;;;;x
tribal_league;Tribal Elective League;;Stammeswahlbund;;;;;;;;;x
tooltip_TL_big_elector;Potential Leader;;Potentieller Nachfolger;;;;;;;;;x

#RULES
RULE_ELECTIVE_LEAGUES;Elective Leagues;;Wahlbünde;;;;;;;x
RULE_GROUP_ELECTIVE_LEAGUES;Elective Leagues;;Wahlbünde;;;;;;;x
RULE_LEAGUES_ALL_TEXT;All;;Alle;;;;;;;x
RULE_LEAGUES_ALL_DESC;Players and AI can found and expand Elective Leagues;;Spieler und KI können Wahlbünde gründen und erweitern;;;;;;;x
RULE_LEAGUES_AI_LIMITED_TEXT;AI Limited;;KI Beschränkt;;;;;;;x
RULE_LEAGUES_AI_LIMITED_DESC;Players and AI can found Elective Leagues. Only Players can expand them diplomatically;;Spieler und KI können Wahlbünde gründen. Nur Spieler können einen Bund diplomatisch erweitern;;;;;;;x
RULE_LEAGUES_PLAYER_ONLY_TEXT;Player only;;Nur Spieler;;;;;;;x
RULE_LEAGUES_PLAYER_ONLY_DESC;Only Players can found and expand Elective Leagues;;Nur Spieler können Wahlbünde gründen und diplomatisch erweitern;;;;;;;x
